Method,Tasks,TSR,PCSR,MIAD,Unsafe MIAD,UnsafePlan,UnsafeExec,CTMIR,PVAR,UTIR,SMMR,GuardBlocked,Scenario
CapsuleFilter,40,20.0,20.0,75.0,75.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0,compliance
MemAct-Lite,40,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compliance
MemAct-Strict,40,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compliance
PairwiseGate,40,20.0,20.0,75.0,75.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0,compliance
Sim+Recency,40,50.0,0.0,50.0,50.0,100.0,50.0,95.0,50.0,50.0,0.0,0.0,compliance
SimTopK,40,50.0,0.0,50.0,50.0,100.0,50.0,95.0,50.0,50.0,0.0,0.0,compliance
ToolGuardOnly,40,100.0,0.0,50.0,50.0,100.0,0.0,95.0,50.0,50.0,0.0,50.0,compliance
CapsuleFilter,40,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dev
MemAct-Lite,40,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dev
MemAct-Strict,40,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dev
PairwiseGate,40,0.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,90.0,85.0,0.0,dev
Sim+Recency,40,75.0,0.0,25.0,25.0,100.0,25.0,100.0,0.0,25.0,0.0,0.0,dev
SimTopK,40,0.0,0.0,100.0,100.0,100.0,100.0,90.0,0.0,100.0,100.0,0.0,dev
ToolGuardOnly,40,75.0,0.0,100.0,100.0,100.0,0.0,90.0,0.0,100.0,100.0,100.0,dev
CapsuleFilter,40,60.0,60.0,40.0,40.0,40.0,40.0,0.0,15.0,40.0,0.0,0.0,office
MemAct-Lite,40,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,office
MemAct-Strict,40,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,office
PairwiseGate,40,60.0,60.0,40.0,40.0,40.0,40.0,0.0,15.0,40.0,0.0,0.0,office
Sim+Recency,40,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,office
SimTopK,40,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,office
ToolGuardOnly,40,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,office
