Method,CandidateK,ProbeN,Tasks,TSR,PCSR,AnyViol,Tokens,DraftCalls,Cand.
SimTopK,3,1,120,50.0,5.0,95.0,74.58,0.00,3.00
CapsuleFilter,3,1,120,18.3,18.3,3.3,11.42,0.00,0.43
PairwiseGate,3,1,120,15.0,15.0,10.0,14.92,0.00,3.00
MemAct-Lite,3,1,120,20.0,20.0,0.0,108.62,1.78,0.43
SimTopK,5,1,120,50.0,0.0,100.0,125.42,0.00,5.00
CapsuleFilter,5,1,120,30.0,30.0,5.0,20.18,0.00,0.77
PairwiseGate,5,1,120,25.0,25.0,15.0,25.08,0.00,5.00
MemAct-Lite,5,1,120,33.3,33.3,0.0,182.53,2.43,0.77
SimTopK,10,1,120,50.0,0.0,100.0,125.42,0.00,5.00
CapsuleFilter,10,1,120,55.0,55.0,8.3,39.93,0.00,1.53
PairwiseGate,10,1,120,45.0,45.0,25.0,49.03,0.00,10.00
MemAct-Lite,10,1,120,61.7,61.7,0.0,348.58,3.87,1.53
SimTopK,20,1,120,50.0,0.0,100.0,125.42,0.00,5.00
CapsuleFilter,20,1,120,48.3,48.3,38.3,73.78,0.00,2.97
PairwiseGate,20,1,120,26.7,26.7,68.3,90.20,0.00,20.00
MemAct-Lite,20,1,120,85.0,85.0,0.0,592.62,6.02,2.97
SimTopK,40,1,120,50.0,0.0,100.0,125.42,0.00,5.00
CapsuleFilter,40,1,120,5.0,5.0,90.0,109.85,0.00,5.05
PairwiseGate,40,1,120,3.3,3.3,96.7,121.20,0.00,40.00
MemAct-Lite,40,1,120,95.0,95.0,0.0,858.15,8.43,5.05
